model,year,price,transmission,mileage,fuelType,tax,mpg,engineSize
5,2017,12000,0,15944,4,150,57.7,1.0
6,2018,14000,1,9083,4,150,57.7,1.0
6,2017,13000,1,12456,4,150,57.7,1.0
5,2019,17500,1,10460,4,145,40.3,1.5
5,2019,16500,0,1482,4,145,48.7,1.0
5,2015,10500,1,35432,4,145,47.9,1.6
16,2019,22500,1,2029,4,145,50.4,1.0
5,2017,9000,1,13054,4,145,54.3,1.2
13,2019,25500,0,6894,0,145,42.2,2.0
6,2018,10000,1,48141,4,145,61.4,1.0
5,2018,11561,1,18803,4,145,56.5,1.0
2,2018,13500,1,12065,4,145,54.3,1.0
5,2017,11000,1,20978,4,0,65.7,1.0
13,2018,17999,2,9002,0,145,54.3,2.0
13,2018,18999,2,8970,0,145,58.9,1.5
13,2018,14399,1,12810,0,145,64.2,1.5
13,2019,17999,1,10428,0,145,38.2,2.0
13,2018,16899,1,14680,0,145,54.3,2.0
5,2017,10999,1,12427,4,20,62.8,1.0
5,2019,12500,1,25521,4,145,55.4,1.0
5,2018,9499,1,20400,4,145,55.4,1.1
5,2017,10500,1,24926,4,145,65.7,1.0
5,2017,8995,1,26163,4,145,65.7,1.0
13,2014,8995,1,59000,0,160,47.9,2.0
5,2014,6795,1,35299,4,0,65.7,1.0
6,2017,18499,1,13063,4,145,41.5,2.0
1,2018,11799,1,23800,0,145,68.9,1.5
5,2015,8299,1,25935,4,0,65.7,1.0
5,2018,12499,1,8700,4,145,58.9,1.0
5,2017,8699,1,25000,4,125,54.3,1.2
5,2016,7999,1,60730,0,0,78.5,1.5
5,2017,8991,1,18561,4,145,54.3,1.2
6,2019,18990,1,8400,4,145,60.1,1.0
5,2013,7236,1,39090,4,0,65.7,1.0
13,2018,15287,2,33149,0,145,58.9,1.5
14,2019,20000,1,24,0,145,65.7,2.0
2,2020,20000,1,558,4,145,53.3,1.0
13,2019,21378,1,3259,0,145,39.2,2.0
5,2018,9814,1,15100,4,145,65.7,1.0
12,2018,8261,1,25000,4,145,57.7,1.2
5,2017,8788,1,15612,4,145,65.7,1.0
5,2018,12251,1,8920,4,145,58.9,1.0
13,2017,16320,1,24803,0,145,60.1,2.0
5,2019,13140,1,7,4,145,48.7,1.1
5,2018,10491,2,43019,4,145,48.7,1.0
13,2016,13870,2,41607,0,145,54.3,2.0
6,2017,14960,1,23554,4,145,41.5,2.0
5,2019,13540,1,6923,4,145,58.9,1.0
6,2019,17970,1,10985,0,145,74.3,1.5
1,2017,9330,1,29617,0,20,68.9,1.5
5,2016,6000,1,47613,4,0,65.7,1.0
12,2019,8995,1,5122,4,145,43.5,1.2
12,2019,8495,1,32,4,145,48.7,1.2
5,2016,6395,1,31562,4,125,54.3,1.2
6,2019,14495,1,8131,4,145,58.9,1.0
21,2018,19995,0,24568,0,145,31.7,2.0
18,2017,18495,0,39605,0,145,54.3,2.0
6,2019,17995,1,11496,0,145,57.6,2.0
5,2013,5495,1,51271,4,30,54.3,1.2
13,2018,16995,0,7189,0,145,58.9,1.5
13,2018,16495,1,29428,0,145,54.3,1.5
13,2018,17998,1,12162,4,145,39.2,1.5
0,2014,7498,2,33023,4,160,44.1,1.6
6,2019,17498,1,2714,4,150,49.6,1.0
18,2017,17498,1,17051,0,150,56.5,2.0
5,2013,5998,1,44304,0,0,76.4,1.5
13,2019,17698,1,4844,4,145,34.4,1.5
13,2016,11000,1,31810,0,125,60.1,2.0
2,2017,8700,1,43081,4,145,44.8,1.5
13,2017,15300,1,47159,0,145,54.3,2.0
5,2013,7490,1,25000,4,0,65.7,1.0
6,2017,10760,1,29891,4,145,60.1,1.0
13,2019,18760,1,10237,4,145,39.2,1.5
5,2014,6360,1,48653,4,0,65.7,1.0
5,2014,6270,1,60888,4,0,65.7,1.0
13,2017,17920,0,15815,4,235,38.2,1.5
5,2013,4790,1,74128,4,0,65.7,1.0
6,2015,7830,1,50124,0,0,74.3,1.5
5,2015,6990,1,29851,0,0,76.4,1.5
3,2016,18640,1,24105,0,160,48.7,2.0
5,2015,6700,1,28935,4,30,54.3,1.2
5,2018,9498,1,30925,4,145,65.7,1.0
6,2018,13698,1,13418,4,145,58.9,1.0
5,2018,13298,1,13756,4,145,58.9,1.0
13,2015,14398,1,25175,0,145,54.3,2.0
5,2017,8998,1,21267,4,145,64.2,1.1
5,2019,12698,1,12130,4,145,56.5,1.0
5,2019,11998,1,17354,4,145,56.5,1.0
5,2019,13498,1,15822,4,145,58.9,1.0
5,2019,13498,1,10557,4,145,58.9,1.0
6,2016,9698,1,20786,4,20,61.4,1.0
6,2016,24995,1,7997,4,235,36.7,2.3
5,2017,9895,1,19079,4,145,65.7,1.0
5,2018,12995,1,14979,4,145,58.9,1.0
20,2015,9295,1,47904,0,125,56.5,1.6
5,2016,8495,1,24410,4,125,54.3,1.2
5,2019,13895,1,13600,4,145,58.9,1.0
6,2018,18298,1,21456,0,145,67.3,2.0
6,2015,9198,1,31512,0,0,74.3,1.5
5,2016,10798,1,11843,4,0,65.7,1.0
5,2016,8998,1,31373,4,0,65.7,1.0
13,2018,18498,1,7796,0,145,54.3,1.5
13,2017,13498,1,26597,0,145,54.3,2.0
13,2017,14998,1,15978,0,30,64.2,1.5
13,2017,13998,0,13265,4,240,38.2,1.5
2,2016,9998,1,20491,4,125,52.3,1.0
20,2017,10998,1,16310,4,125,50.4,1.0
6,2017,17698,1,14557,4,145,41.5,2.0
6,2017,11498,2,30917,4,125,51.4,1.0
6,2017,12798,1,22153,0,145,74.3,1.5
1,2015,8698,1,31743,4,30,55.4,1.0
13,2019,19495,1,13673,0,145,47.9,2.0
5,2018,9995,1,25776,4,145,65.7,1.0
6,2016,10995,1,30923,0,0,74.3,1.5
13,2017,13998,1,24504,0,150,64.2,1.5
5,2017,11998,1,6568,4,145,62.8,1.0
20,2016,8998,1,42960,0,30,61.4,1.5
13,2018,16698,1,5117,0,145,54.3,1.5
2,2016,8998,1,31736,4,125,53.3,1.0
5,2015,7998,1,19212,4,0,65.7,1.0
5,2018,12495,1,12426,4,145,65.7,1.0
12,2017,7995,1,12872,4,145,57.7,1.2
16,2020,21995,1,4111,4,145,50.4,1.0
13,2018,16995,1,34690,0,145,60.1,2.0
5,2018,11995,1,32168,4,145,65.7,1.0
13,2019,19995,1,11312,0,145,47.9,2.0
5,2017,8995,1,31559,4,145,65.7,1.0
12,2017,8295,1,23000,4,145,57.7,1.2
2,2018,14698,1,6442,4,145,54.3,1.0
5,2016,10498,2,29590,4,0,57.7,1.0
6,2018,14495,1,17030,4,145,57.7,1.0
6,2016,8995,1,22493,4,20,60.1,1.0
6,2016,15995,1,29600,0,20,67.3,2.0
1,2016,10995,2,26500,0,125,58.9,2.0
21,2017,19995,1,14000,0,200,44.8,2.0
1,2013,8295,1,34783,0,30,61.4,1.6
6,2015,7995,1,56655,0,20,67.3,1.6
13,2019,19995,1,16000,0,150,47.9,2.0
14,2015,9995,1,30753,0,0,78.5,1.5
9,2018,13495,1,1030,4,145,47.9,1.0
1,2017,12995,1,7817,4,145,55.4,1.0
6,2018,12995,1,9781,4,145,60.1,1.0
2,2018,12998,1,17241,4,145,54.3,1.0
20,2015,10298,1,28309,0,125,58.9,1.6
5,2017,10498,1,50599,4,0,65.7,1.0
6,2018,11298,2,37880,0,150,74.3,1.5
13,2016,10698,1,56888,0,125,60.1,2.0
6,2018,15995,1,10500,4,145,60.1,1.0
0,2014,6995,2,50800,4,160,44.1,1.6
5,2019,13950,1,6700,4,145,58.9,1.0
5,2017,10650,1,31800,4,150,65.7,1.0
5,2016,7995,1,20700,4,125,54.3,1.2
6,2016,11495,1,29900,0,0,74.3,1.5
13,2018,16995,1,32858,0,145,54.3,2.0
5,2018,11995,1,31593,4,145,65.7,1.0
6,2015,10995,1,13791,4,125,51.4,1.5
13,2019,20495,1,12034,0,145,47.9,2.0
6,2018,19995,1,10923,0,145,67.3,2.0
13,2019,19995,1,10171,0,145,38.2,2.0
2,2019,18995,1,2291,4,145,52.3,1.0
6,2017,11995,1,23469,4,125,51.4,1.5
13,2017,16998,1,13626,0,125,60.1,2.0
5,2016,7398,1,35180,4,125,54.3,1.2
5,2019,11498,1,17708,4,145,58.9,1.0
5,2019,13998,1,9957,4,145,58.9,1.0
6,2019,16698,1,4542,4,145,60.1,1.0
14,2016,9998,1,38358,0,0,78.5,1.5
6,2015,12998,1,25878,0,20,67.3,2.0
2,2016,9998,2,18325,4,160,44.8,1.5
6,2017,12498,1,9338,4,145,60.1,1.0
2,2018,14998,1,7133,0,145,58.9,1.5
6,2017,10498,1,42002,4,20,60.1,1.0
13,2017,16995,0,3700,4,145,38.2,1.5
6,2019,15495,1,5600,4,145,60.1,1.0
5,2015,9495,1,17288,4,0,65.7,1.0
0,2013,5995,1,42996,0,20,70.6,1.6
6,2014,7498,1,47566,4,30,56.5,1.0
5,2017,11798,1,4262,4,0,65.7,1.0
5,2017,10998,1,10125,4,145,65.7,1.0
6,2017,14998,0,17028,4,150,46.3,1.5
5,2017,8998,1,12753,4,145,54.3,1.2
6,2016,13998,1,24895,0,20,67.3,2.0
6,2017,17998,1,9066,4,145,41.5,2.0
5,2019,18998,1,3292,4,145,40.3,1.5
13,2013,9198,2,48130,0,200,45.6,2.0
13,2015,14498,1,27513,0,145,54.3,2.0
6,2017,14998,1,32511,4,150,41.5,2.0
5,2016,8498,1,21888,4,125,54.3,1.2
5,2019,13995,1,11130,4,145,58.9,1.0
6,2017,18498,1,14441,4,145,41.5,2.0
6,2018,13998,1,13401,4,145,60.1,1.0
5,2019,12798,1,10567,4,145,58.9,1.0
5,2019,14698,1,7872,4,145,58.9,1.0
12,2017,7698,1,10641,4,30,57.7,1.2
2,2018,12498,1,10222,4,145,54.3,1.0
5,2017,9998,1,28519,4,20,62.8,1.0
13,2017,13998,1,51772,0,125,60.1,2.0
5,2016,9500,0,7350,4,0,57.7,1.0
12,2018,8195,1,12231,4,145,47.9,1.2
13,2019,21498,0,5354,4,150,31.0,1.5
6,2017,17998,1,19525,4,145,41.5,2.0
2,2018,14498,1,11922,4,145,54.3,1.0
1,2016,9998,1,16984,0,20,68.9,1.5
5,2016,7998,1,16070,4,125,54.3,1.2
6,2018,10998,1,26648,4,145,61.4,1.0
5,2017,10998,1,19140,4,145,62.8,1.0
6,2016,9998,1,26399,0,0,74.3,1.5
5,2013,5498,1,53545,4,30,54.3,1.2
5,2017,9298,1,25491,4,0,65.7,1.0
5,2014,7298,1,31359,4,0,65.7,1.0
6,2016,8498,1,51656,0,0,74.3,1.5
13,2016,17698,2,11221,0,145,54.3,2.0
13,2017,14498,1,23356,0,145,60.1,2.0
2,2018,12898,1,15267,4,145,53.3,1.0
0,2017,7998,1,41294,0,0,74.4,1.5
1,2018,12198,1,7993,4,145,49.6,1.0
2,2017,9698,1,30207,4,145,53.3,1.0
5,2016,8798,1,19815,4,0,65.7,1.0
13,2015,14298,1,43717,0,145,54.3,2.0
6,2018,15798,1,4534,4,145,58.9,1.0
5,2017,10298,1,9148,4,145,65.7,1.0
11,2014,4898,1,22609,4,30,57.7,1.2
6,2016,10298,1,15510,0,0,74.3,1.5
5,2017,9998,1,20347,4,0,65.7,1.0
13,2018,16698,1,3044,4,145,39.2,1.5
5,2017,8998,1,5233,4,125,54.3,1.2
9,2015,8998,1,28359,0,125,60.1,1.6
6,2017,12498,2,12244,4,125,51.4,1.0
5,2018,12498,1,17918,4,145,65.7,1.0
18,2020,34498,2,4623,0,145,43.5,2.0
2,2017,9298,1,16770,4,145,44.8,1.5
6,2017,10900,1,25459,4,145,60.1,1.0
2,2017,9998,1,23913,4,125,53.3,1.0
5,2018,12998,1,9901,4,150,65.7,1.0
6,2016,10998,2,15006,4,125,51.4,1.0
6,2017,15500,1,19593,4,145,41.5,2.0
13,2017,16200,2,23027,0,145,58.9,1.5
1,2016,10500,2,13580,0,20,64.2,1.5
6,2015,13200,1,32000,0,20,67.3,2.0
6,2019,18698,1,15365,4,145,60.1,1.0
6,2019,16998,1,7924,0,145,80.7,1.5
