person_age,person_gender,person_education,person_income,person_emp_exp,person_home_ownership,loan_amnt,loan_intent,loan_int_rate,loan_percent_income,cb_person_cred_hist_length,credit_score,previous_loan_defaults_on_file,loan_status
22.0,0,4,71948.0,0,3,35000.0,4,16.02,0.49,3.0,561,0,1
21.0,0,3,12282.0,0,2,1000.0,1,11.14,0.08,2.0,504,1,0
25.0,0,3,12438.0,3,0,5500.0,3,12.87,0.44,3.0,635,0,1
23.0,0,1,79753.0,0,3,35000.0,3,15.23,0.44,2.0,675,0,1
24.0,1,4,66135.0,1,3,35000.0,3,14.27,0.53,4.0,586,0,1
21.0,0,3,12951.0,0,2,2500.0,5,7.14,0.19,2.0,532,0,1
26.0,0,1,93471.0,1,3,35000.0,1,12.42,0.37,3.0,701,0,1
24.0,0,3,95550.0,5,3,35000.0,3,11.11,0.37,4.0,585,0,1
24.0,0,0,100684.0,3,3,35000.0,4,8.9,0.35,2.0,544,0,1
21.0,0,3,12739.0,0,2,1600.0,5,14.74,0.13,3.0,640,0,1
22.0,0,3,102985.0,0,3,35000.0,5,10.37,0.34,4.0,621,0,1
21.0,0,0,13113.0,0,2,4500.0,2,8.63,0.34,2.0,651,0,1
23.0,1,1,114860.0,3,3,35000.0,5,7.9,0.3,2.0,573,0,1
26.0,1,4,130713.0,0,3,35000.0,1,18.39,0.27,4.0,708,0,1
23.0,0,0,138998.0,0,3,35000.0,1,7.9,0.25,4.0,583,0,0
23.0,0,4,600891.0,5,0,30000.0,0,10.65,0.05,3.0,670,1,0
23.0,1,1,144943.0,0,3,35000.0,1,7.9,0.24,4.0,663,0,0
23.0,0,3,111369.0,0,3,35000.0,3,20.0,0.31,4.0,694,0,1
23.0,1,1,136628.0,0,3,35000.0,0,18.25,0.26,4.0,709,0,1
24.0,0,4,14283.0,1,0,1750.0,1,10.99,0.12,2.0,679,0,1
25.0,1,1,195718.0,0,3,35000.0,5,7.49,0.18,4.0,684,1,0
25.0,1,3,165792.0,4,3,34800.0,4,16.77,0.21,2.0,662,0,0
22.0,0,4,79255.0,0,3,34000.0,1,17.58,0.43,4.0,691,0,1
24.0,0,1,13866.0,0,2,1500.0,4,7.29,0.11,3.0,600,1,0
22.0,1,1,97420.0,1,3,33950.0,4,14.54,0.35,4.0,691,0,1
24.0,0,3,82443.0,0,3,33000.0,2,12.68,0.4,3.0,654,0,1
21.0,0,0,14288.0,0,0,4575.0,5,17.74,0.32,3.0,626,0,1
23.0,1,3,14293.0,0,2,1400.0,4,9.32,0.1,3.0,607,0,0
24.0,0,1,79054.0,1,3,32500.0,2,9.99,0.41,3.0,700,0,1
21.0,0,1,14988.0,0,1,4000.0,1,12.84,0.27,2.0,553,0,1
21.0,1,3,14858.0,0,2,2000.0,3,11.12,0.13,3.0,589,0,1
25.0,1,1,144855.0,1,3,32000.0,5,6.62,0.22,2.0,586,1,0
26.0,1,1,114645.0,2,3,31050.0,2,14.17,0.27,3.0,681,0,1
25.0,0,3,368115.0,3,3,24250.0,0,13.85,0.07,3.0,567,1,0
26.0,0,0,361076.0,1,0,7800.0,3,13.49,0.02,4.0,669,0,0
